SM,PU,Number Ambiguously Aligned,Number Unaligned,Number Uniquely Aligned,Number Unpaired,Number of Reads,Percent uniquely aligned
B8,151020_run0437,444205,559502,6650631,7654338,7654338,86.88708285419327
B10,151020_run0437,467010,690871,8285617,9443498,9443498,87.7388548184158
B6,151020_run0437,207501,458800,5796036,6462337,6462337,89.68947301881657
B11,151020_run0437,498063,709482,8625865,9833410,9833410,87.71997709848364
B7,151020_run0437,464224,562590,6809573,7836387,7836387,86.89684417066181
B5,151020_run0437,213515,454805,5821809,6490129,6490129,89.70251592841991
A7,151020_run0437,351503,479052,5975525,6806080,6806080,87.79686691899008
A9,151020_run0437,188338,323347,4680086,5191771,5191771,90.14430721231734
A3,151020_run0437,346795,327972,3736362,4411129,4411129,84.70307714872995
A12,151020_run0437,323468,515346,9493763,10332577,10332577,91.88185096515613
A8,151020_run0437,296392,510111,7564300,8370803,8370803,90.36528514647878
A4,151020_run0437,1049072,944800,10907327,12901199,12901199,84.54506437734973
A2,151020_run0437,441565,382698,4843503,5667766,5667766,85.4570036942245
B12,151020_run0437,635440,834133,10661942,12131515,12131515,87.88631922723584
A10,151020_run0437,227164,429104,6982282,7638550,7638550,91.40847412139739
B4,151020_run0437,215034,532404,6630099,7377537,7377537,89.86873261360803
A6,151020_run0437,675035,579518,6470030,7724583,7724583,83.75895501414122
A11,151020_run0437,357616,543257,9124529,10025402,10025402,91.01409599335767
B3,151020_run0437,284635,645511,7951159,8881305,8881305,89.52692200076453
A1,151020_run0437,361130,422629,5167206,5950965,5950965,86.82971585280707
A5,151020_run0437,257101,238630,3176948,3672679,3672679,86.50219635312533
B9,151020_run0437,499020,684710,8395561,9579291,9579291,87.64282241765075
B1,151020_run0437,233710,577354,7049229,7860293,7860293,89.68150423909134
B2,151020_run0437,210802,546498,6591187,7348487,7348487,89.6944772440912
